ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
261,63,15,NA,NA,NA,0,1,0,0,30,33
229,69.5,12,37,95,97,0,1,0,0,32,37.5
341,66,13,35,89,98,0,1,0,0,32,34
223,51,9,10,69.5,91,0,1,0,0,24,27
95,46.5,7,15,62,91,0,1,0,0,22,24.5
336,57,10,13,78,93,0,1,0,0,22,35
112,51,13,NA,NA,NA,0,1,0,0,26,25
217,64.5,8,12,64,88,0,1,0,0,36,28.5
279,75,16,NA,NA,NA,0,1,0,0,36,39
244,77,15,31,98,93,0,1,0,0,38,39
416,43,6,6,48,92,0,1,0,0,24,19
168,61.5,14,NA,NA,NA,0,1,0,0,30,31.5
33,39,8,NA,NA,NA,0,1,0,0,20,19
422,65,10,9,79,94,0,1,0,0,34,31
102,73.5,9,18,85,93,0,1,0,0,36,37.5
56,72.5,NA,29,82,98,0,0,0,0,36,36.5
185,39,6,9,63,96,0,0,0,0,18,21
35,67.5,12,NA,NA,NA,0,1,0,0,34,33.5
158,64,10,35,80,100,1,1,1,0,30,34
367,57.5,8,NA,77,85,0,1,0,0,32,25.5
369,43,7,33,58,92,1,0,1,0,18,25
311,71,11,NA,NA,NA,0,1,0,0,38,33
177,49.5,4,NA,61,95,0,1,1,0,24,25.5
350,70.5,17,20,87,98,0,1,0,0,34,36.5
391,24,7,34,74,86,0,1,0,0,14,10
113,76,9,20,86,95,0,1,0,0,36,40
371,66,8,21,77,97,0,1,0,0,36,30
428,39,NA,21,65.5,96,0,0,0,0,18,21
243,80,21,NA,NA,NA,0,1,0,0,40,40
32,59.5,7,15,87,93,0,1,0,0,34,25.5
108,63.5,0,NA,NA,NA,0,1,0,0,34,29.5
182,72.5,14,30,92,98,0,1,0,0,36,36.5
306,72.5,13,NA,NA,NA,0,1,0,0,36,36.5
282,54.5,NA,NA,NA,NA,0,0,0,0,30,24.5
441,76,17,NA,NA,NA,0,1,0,0,36,40
175,69,5,18,95,100,0,1,0,0,34,35
249,76,11,47,90,96,0,1,0,0,38,38
263,49,NA,NA,NA,NA,0,0,0,0,30,19
218,58,6,9,46,93,1,0,0,0,34,24
62,41,9,11,46.5,82,1,1,0,0,24,17
128,66.5,NA,NA,NA,NA,0,0,0,0,36,30.5
134,67,18,NA,NA,NA,0,0,0,0,32,35
242,76.5,12,17,88,100,0,1,1,0,40,36.5
151,78.5,19,45,100,98,0,1,0,0,40,38.5
94,49,6,9,68,89,0,1,1,0,24,25
227,60,10,32,69,96,0,1,0,0,26,34
69,68.5,14,9,86,91,0,1,0,0,34,34.5
154,49.5,17,24,69,92,0,1,0,0,24,25.5
450,NA,3,19,57,99,0,1,0,0,0,0
235,76.5,13,17,93,87,0,1,0,0,38,38.5
23,55.5,4,NA,NA,NA,0,1,0,0,24,31.5
38,35,9,26,66,92,0,1,1,0,26,9
40,75.5,6,14,88,97,0,1,0,0,38,37.5
104,30,7,11,33,89,0,1,0,0,20,10
121,61.5,11,NA,NA,NA,0,1,0,0,30,31.5
294,72,NA,NA,NA,NA,0,0,0,0,36,36
397,69,14,44,86,92,0,1,0,0,36,33
53,75.5,13,47,90,100,0,1,0,0,36,39.5
7,33.5,4,24,61,98,0,1,0,0,26,7.5
234,61.5,18,NA,NA,NA,0,1,0,0,26,35.5
137,76,21,11,94,92,0,1,0,0,38,38
98,71.5,19,NA,NA,NA,0,1,0,0,34,37.5
192,75.5,9,NA,NA,NA,0,1,0,0,38,37.5
178,67,7,NA,NA,NA,1,1,0,0,34,33
77,75.5,17,37,90,100,0,1,0,0,38,37.5
129,58,5,22,79,86,0,1,0,0,30,28
47,72.5,11,NA,NA,NA,0,1,0,0,34,38.5
335,75,8,44,99,93,0,1,0,0,36,39
216,65,4,11,69,94,0,1,0,0,36,29
262,65,8,8,67,91,1,1,1,0,32,33
221,53.5,NA,41,74.5,97,0,0,0,0,28,25.5
455,NA,8,13,58,85,0,1,0,0,0,0
54,45.5,11,NA,NA,NA,0,1,0,0,28,17.5
331,36.5,4,7,58,81,0,1,0,0,22,14.5
49,46,4,13,48,89,0,1,0,0,18,28
50,38,6,12,74,89,0,0,0,0,22,16
8,64,11,23,75,96,0,1,0,0,32,32
141,68,10,NA,96,98,0,1,0,0,34,34
304,54.5,8,34,69,97,0,1,0,0,26,28.5
76,76,7,42,87,96,0,1,0,0,40,36
144,20,NA,NA,23,91,1,0,1,0,18,2
199,32.5,0,NA,NA,NA,0,1,0,0,16,16.5
323,72.5,12,15,91,92,0,0,1,0,36,36.5
197,80,8,30,100,100,0,1,0,0,40,40
31,71.5,15,24,92,100,0,1,0,0,34,37.5
271,56,7,13,56,86,1,1,0,0,30,26
328,59,10,20,82,98,0,1,0,0,28,31
427,58,NA,NA,NA,NA,0,0,0,0,26,32
339,67,10,24,85,96,0,1,0,0,36,31
186,68.5,24,NA,NA,NA,0,1,0,0,36,32.5
60,63.5,9,NA,NA,NA,0,0,0,0,28,35.5
254,68,11,34,79,100,0,1,0,0,34,34
434,75.5,17,NA,NA,NA,0,1,0,0,38,37.5
82,73,12,23,92,96,0,1,0,0,34,39
85,31,4,6,60,91,0,1,0,0,20,11
405,71.5,14,NA,NA,NA,0,1,0,0,36,35.5
