,Phys1A,Phys2A,Phys1Final,fmce_pre,Phys2Final,csem_pre,VectorCalcPrior,Percentile,Freshmen,MC,FR
289,0,1,0.91,25,34,9,1,100,1,17,34
290,0,0,NA,NA,35,15,1,NA,0,17,36
291,0,0,NA,NA,35,20,1,NA,0,18,34
292,0,0,0.79,33,35.5,17,1,100,1,17,37
293,0,0,0.8,26,32.5,16,1,99,1,15,35
294,0,0,0.65,12,27,14,0,NA,1,15,24
295,0,0,0.54,25,22.5,4,1,96,1,8,29
296,0,0,0.55,21,26.5,8,0,NA,1,13,27
297,0,0,0.63,40,27,15,1,97,1,12,30
298,0,0,0.78,24,27,6,1,NA,1,10,34
299,0,0,NA,NA,36,18,1,NA,0,18,36
300,0,0,NA,NA,32.5,13,1,NA,0,15,35
301,0,0,0.59,12,22.5,11,1,NA,1,11,23
302,0,0,0.68,18,25.5,9,1,92,1,13,25
303,0,0,NA,NA,29.5,NA,NA,NA,0,12,35
304,0,0,NA,NA,26,NA,NA,NA,0,16,20
305,0,0,0.44,14,28.5,7,0,100,1,14,29
306,0,0,0.7,34,33,24,1,NA,1,17,32
307,1,0,0.76,43,30.5,10,1,NA,1,11,39
308,1,0,0.79,27,29.5,19,0,NA,1,13,33
309,2,1,0.65,38,33,8,1,87,1,17,32
310,0,0,0.61,22,34.5,14,0,100,1,15,39
311,0,0,0.73,11,32,14,1,94,1,15,34
312,0,0,0.88,15,30,11,1,96,1,14,32
313,0,0,0.61,39,18.5,NA,NA,100,1,10,17
314,0,0,0.69,25,33,7,1,95,1,15,36
315,1,0,0.76,20,36,15,1,NA,1,19,34
316,0,0,0.96,NA,33.5,14,1,NA,1,14,39
317,0,0,0.96,45,27,4,1,NA,1,14,26
318,0,0,0.88,40,35.5,17,1,NA,1,18,35
319,0,0,NA,NA,27,22,0,NA,0,13,28
320,0,0,0.91,37,34,22,1,98,1,16,36
321,0,0,NA,NA,40,16,1,NA,0,20,40
322,0,0,NA,NA,31,10,0,NA,0,15,32
323,0,0,0.96,42,37.5,17,1,100,1,18,39
324,0,0,NA,NA,22,7,1,NA,0,8,28
325,0,0,0.8,19,38,25,1,100,1,18,40
326,0,0,0.88,29,33,16,1,100,1,16,34
327,0,0,0.85,NA,32.5,0,0,92,1,15,35
328,0,0,0.81,38,37.5,14,1,99,1,19,37
329,0,0,0.79,45,15.5,18,1,98,1,7,17
330,0,0,0.91,46,34.5,19,0,97,1,17,35
331,0,0,0.9,46,37.5,25,1,98,1,19,37
332,0,0,0.6,24,28,12,1,98,1,13,30
333,1,1,0.74,28,35,7,1,100,1,18,34
334,0,0,0.75,46,34,22,0,98,1,16,36
335,0,0,0.68,33,22.5,7,0,NA,1,9,27
336,0,0,NA,NA,33,18,1,NA,0,16,34
337,0,0,NA,NA,34.5,13,1,NA,0,17,35
338,0,0,0.82,39,34.5,15,1,95,1,17,35
339,1,0,0.58,13,24,3,1,92,1,12,24
340,0,0,0.63,NA,26.5,14,0,NA,1,15,23
341,0,0,NA,NA,37,NA,NA,NA,0,17,40
342,0,0,1,44,39.5,29,1,98,1,20,39
343,0,0,NA,NA,24.5,17,1,NA,0,12,25
344,0,0,0.65,45,28,21,1,89,1,16,24
345,0,0,0.79,47,30.5,22,1,NA,1,15,31
346,2,0,0.74,23,31,10,0,99,1,15,32
347,2,0,0.81,25,33,12,1,95,1,17,32
348,0,0,0.98,42,36.5,31,0,100,1,18,37
349,0,0,0.8,42,31,15,0,NA,1,14,34
350,0,0,0.84,23,22,12,1,94,1,8,28
351,0,0,0.58,14,26,0,1,98,1,12,28
352,0,0,0.96,37,37,21,1,97,1,19,36
353,0,0,0.74,45,25,17,1,100,1,9,32
354,0,0,NA,NA,33,8,1,NA,0,16,34
355,0,0,0.71,38,28.5,11,0,100,1,15,27
356,0,0,0.9,34,40,12,1,100,1,20,40
357,1,0,0.7,21,20.5,3,0,92,1,12,17
358,0,0,0.71,34,31,18,1,99,1,15,32
359,0,0,0.86,40,35,NA,NA,98,1,17,36
360,0,0,0.73,16,28.5,16,1,98,1,15,27
362,0,0,0.74,NA,35.5,NA,NA,98,1,16,39
363,1,1,0.62,18,26.5,10,0,91,1,13,27
364,0,0,0.72,21,30.5,15,1,97,1,12,37
365,2,0,0.64,19,30.5,7,1,100,1,13,35
366,0,0,0.84,33,35,20,1,99,1,17,36
367,0,0,0.77,40,33.5,15,0,100,1,17,33
368,0,0,NA,NA,32,0,1,NA,0,16,32
369,0,0,0.64,17,28.5,13,1,97,1,15,27
370,0,0,0.85,43,39,10,0,100,1,19,40
371,0,0,0.88,47,35.5,25,1,100,1,17,37
372,0,0,0.52,21,14,9,1,92,1,6,16
373,0,0,0.9,31,33.5,12,1,100,1,16,35
374,0,0,0.82,29,27,12,0,94,1,12,30
375,0,0,NA,NA,30,10,1,NA,0,13,34
376,0,0,0.9,43,39,32,1,99,1,20,38
377,0,0,0.68,31,27.5,13,1,89,1,12,31
378,0,0,0.88,38,36,26,1,100,1,17,38
379,0,0,0.81,39,29.5,19,0,100,1,16,27
380,0,0,NA,NA,35,11,1,NA,0,16,38
381,0,0,NA,NA,38,24,0,NA,0,19,38
382,0,0,0.85,NA,35.5,NA,NA,NA,1,17,37
383,0,0,0.84,42,31,15,0,99,1,17,28
384,0,0,NA,NA,33,11,1,NA,0,15,36
385,0,0,0.93,35,38,24,1,100,1,18,40
386,0,1,0.67,9,37.5,10,1,100,1,18,39
387,0,0,0.63,22,28,11,1,97,1,11,34
388,0,0,0.69,45,35.5,13,1,96,1,18,35
389,0,0,0.8,20,31,13,1,NA,1,13,36
390,0,0,0.92,18,36,20,1,100,1,19,34
391,0,0,0.69,35,33.5,16,1,100,1,15,37
392,0,0,0.77,12,34.5,8,1,100,1,17,35
393,0,0,0.92,29,31,NA,NA,100,1,15,32
394,0,0,0.66,40,29,9,0,96,1,14,30
395,2,0,0.66,18,35,10,0,87,1,18,34
396,0,0,NA,NA,37,14,1,NA,0,19,36
397,0,0,NA,NA,32,9,1,NA,0,15,34
398,0,0,0.71,29,23,13,1,94,1,12,22
399,0,0,0.95,NA,39.5,26,1,100,1,20,39
400,0,0,0.76,28,33.5,17,1,NA,1,17,33
401,0,0,0.51,8,26.5,8,1,NA,1,11,31
402,1,1,0.66,11,29,7,0,94,1,15,28
403,0,0,0.89,44,38.5,18,1,100,1,20,37
404,0,0,0.76,32,27,6,0,99,1,15,24
405,0,0,NA,NA,34.5,9,0,NA,0,20,29
406,0,0,0.81,47,15,NA,NA,NA,1,10,10
407,0,0,0.96,47,39,23,1,100,1,19,40
408,0,0,0.66,44,35,15,1,100,1,15,40
409,0,1,0.86,31,32,12,1,100,1,17,30
410,0,0,0.85,45,39,22,1,100,1,19,40
411,0,0,0.54,32,24.5,16,1,77,1,8,33
412,0,0,0.68,31,23.5,16,1,100,1,11,25
413,0,0,NA,NA,37,18,1,NA,0,18,38
414,0,0,0.62,43,22.5,19,0,NA,1,13,19
415,0,0,0.57,18,18,NA,NA,NA,1,9,18
416,2,0,0.73,17,27.5,14,0,100,1,12,31
417,0,0,0.83,45,35.5,21,0,100,1,17,37
418,0,0,0.48,12,17,9,0,95,1,7,20
419,0,0,NA,NA,33.5,8,1,NA,0,17,33
420,0,0,0.63,39,26,16,1,100,1,11,30
421,0,0,NA,NA,34.5,15,1,NA,0,16,37
422,0,0,0.95,36,39,13,1,100,1,19,40
423,0,0,0.8,26,29,12,0,NA,1,12,34
424,0,0,0.74,32,35.5,18,0,100,1,18,35
425,0,0,0.68,NA,26,NA,NA,100,1,13,26
426,1,0,0.88,14,36,17,0,98,1,17,38
427,0,0,0.66,21,27.5,14,0,92,1,13,29
428,0,0,0.62,22,31.5,13,0,100,1,17,29
429,0,0,NA,NA,36,NA,NA,NA,0,17,38
430,0,0,0.66,11,29.5,13,1,96,1,15,29
