ID,DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,baseline_mean,PASSIVE_OR_ACTIVE_FIRST,PASSIVE_MIDDLE,PASSIVE_OUT,PASSIVE_IN,ACTIVE_MIDDLE,ACTIVE_OUT,ACTIVE_IN,Sex,Age,PANAS_STATE_1,PANAS_STATE_2,PANAS_STATE_3,PANAS_STATE_4,PANAS_STATE_5,PANAS_STATE_6,PANAS_STATE_7,PANAS_STATE_8,PANAS_STATE_9,PANAS_STATE_10,PANAS_STATE_11,PANAS_STATE_12,PANAS_STATE_13,PANAS_STATE_14,PANAS_STATE_15,PANAS_STATE_16,PANAS_STATE_17,PANAS_STATE_18,PANAS_STATE_19,PANAS_STATE_20,PANAS_STATE_21,PA_STATE,NA_STATE,PANAS_TRAIT_1,PANAS_TRAIT_2,PANAS_TRAIT_3,PANAS_TRAIT_4,PANAS_TRAIT_5,PANAS_TRAIT_6,PANAS_TRAIT_7,PANAS_TRAIT_8,PANAS_TRAIT_9,PANAS_TRAIT_10,PANAS_TRAIT_11,PANAS_TRAIT_12,PANAS_TRAIT_13,PANAS_TRAIT_14,PANAS_TRAIT_15,PANAS_TRAIT_16,PANAS_TRAIT_17,PANAS_TRAIT_18,PANAS_TRAIT_19,PANAS_TRAIT_20,PANAS_TRAIT_21,PA_TRAIT,NA_TRAIT
17,2022-05-10 09:23:05,5,4,6,5,5,6,5,5,5,6,4,7,7,5,5,6,4,4,5,5,6,5,6,7,5,4,5,5,6,4,4,4,5,5,7,5,5.194444444,1,0.5,0.1667,0.0833,0.4167,0,-0.0833,1,20,3,1,1,1,2,1,1,1,2,1,1,4,2,1,2,2,4,1,4,1,1,2.4,1.2,4,1,4,2,3,2,1,1,4,2,2,4,1,2,2,3,4,2,4,1,1,3.4,1.5
18,2022-05-10 10:12:41,5,4,4,5,6,5,5,5,5,7,5,7,5,5,5,4,4,5,5,4,3,5,5,5,2,4,4,6,6,6,6,5,7,5,7,7,5.083333333,1,0,0.4167,-0.25,0.1667,0.0833,-0.3333,0,20,3,1,2,1,2,1,1,1,4,2,1,1,1,2,1,2,2,1,3,1,1,2.3,1,3,1,2,1,2,1,1,1,4,3,1,3,1,3,1,3,3,1,3,2,1,2.9,1
19,2022-05-10 11:25:41,4,6,3,5,6,7,5,4,5,7,6,7,6,4,5,3,8,6,6,7,8,7,4,6,4,7,7,6,6,6,4,6,7,6,8,6,5.777777778,1,-0.3333,-0.25,0.4167,-0.5833,-0.1667,-0.4167,1,20,4,1,5,1,4,3,1,1,5,5,2,4,1,5,1,5,4,3,4,1,2,4.5,1.6,4,2,4,3,3,3,2,1,5,4,5,3,1,5,4,5,5,4,4,3,4,4.2,2.9
20,2022-05-10 13:09:27,5,6,4,3,7,1,5,3,5,3,4,6,1,3,4,7,5,1,6,1,8,1,6,5,1,4,5,6,3,4,4,7,6,3,8,7,4.388888889,0,-0.5,0.75,0,0,0.0833,-0.3333,1,20,5,1,1,1,3,1,1,1,2,3,3,2,1,1,1,2,3,1,4,1,1,2.6,1.2,3,1,2,1,1,1,1,1,4,4,1,3,1,3,1,4,2,1,4,1,1,3,1
21,2022-05-10 14:37:28,3,3,4,4,7,7,6,4,5,2,5,4,3,2,4,6,8,7,5,4,6,4,5,5,4,7,6,4,2,5,3,5,4,3,7,4,4.638888889,1,-0.5833,-0.5833,-0.5,-0.4167,0.0833,-0.3333,0,18,3,2,2,3,3,2,1,1,3,3,3,4,1,1,1,3,4,2,1,1,4,2.7,2,3,1,3,1,3,2,1,2,4,3,3,4,1,1,2,4,3,2,1,1,4,2.9,1.9
22,2022-05-11 09:09:08,5,2,3,6,7,6,5,2,8,7,7,8,2,3,4,3,5,5,6,2,4,4,7,6,1,7,6,3,4,5,3,4,6,5,7,3,4.75,1,-0.6667,-0.8333,-0.1667,-1,0.5833,0.6667,0,22,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,3,3,2,2,1,1,1.9,1.3,3,2,4,2,4,2,1,1,4,5,2,3,1,2,1,2,4,1,3,1,1,3.4,1.4
23,2022-05-11 11:38:55,6,7,5,5,7,8,5,7,7,3,4,4,6,3,5,6,8,7,6,7,8,7,5,3,1,6,7,7,6,6,5,5,6,7,8,6,5.805555556,1,-0.8333,-0.0833,-0.5833,-0.25,-0.5,-0.5,1,19,4,1,3,2,2,1,1,1,3,2,1,3,1,2,1,3,4,2,3,1,4,2.9,1.5,4,2,3,2,3,2,2,1,4,3,2,3,1,3,2,3,4,2,4,1,4,3.4,2
24,2022-05-11 13:05:24,4,5,7,6,5,7,3,3,5,6,5,5,4,3,3,2,4,5,3,4,5,4,6,4,2,3,4,6,4,6,5,6,5,7,8,7,4.75,1,0.5,0.5833,0.1667,0.4167,0,0.0833,1,19,5,1,3,2,2,1,1,1,4,1,2,3,1,3,1,3,4,2,3,1,2,3.1,1.4,4,1,4,2,2,2,1,1,4,1,2,3,1,4,1,4,5,2,3,1,2,3.4,1.5
25,2022-05-11 14:03:15,2,3,5,6,7,8,3,2,3,6,4,7,6,7,6,3,6,3,2,2,3,1,4,5,1,2,6,5,5,5,6,5,5,7,8,4,4.527777778,0,0.8333,0,-0.0833,0.4167,-0.1667,0.25,1,20,2,1,3,2,3,2,1,1,2,2,1,2,1,3,2,4,3,1,2,1,1,2.6,1.3,4,2,4,3,3,2,1,1,4,3,3,2,1,4,2,4,3,3,4,1,1,3.5,1.9
26,2022-05-12 09:59:43,4,3,5,6,7,5,5,4,4,7,6,7,7,6,6,3,3,2,6,4,6,5,5,6,2,3,6,6,6,5,5,4,5,6,5,5,5,1,-0.5,-0.5,-0.8333,-0.5,0,0,1,26,4,1,3,1,1,1,2,1,4,1,1,3,1,2,3,3,4,2,3,1,4,2.8,1.7,4,1,1,2,1,4,1,1,3,1,3,3,2,3,3,3,4,4,3,1,4,2.6,2.5
