pair	pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	recognition	simRatingPair
1_1	1	E	54	1	self	spk1_54.wav	211	3	1.18923306465	1	-0.5	0.382845188284519	0.233333333333333	1.8
1_1	1	E	38	1	self	spk1_38.wav	185	2	0.401243925095	1	-0.5	0.274058577405858	0.233333333333333	1.8
1_1	1	E	20	1	self	spk1_20.wav	65	3	1.9241271019	1	-0.5	-0.228033472803347	0.233333333333333	1.8
1_1	1	E	4	1	self	spk1_4.wav	227	3	0.486798048019	1	-0.5	0.449790794979079	0.233333333333333	1.8
1_1	1	E	43	1	self	spk1_43.wav	228	1	0.737664937973	1	-0.5	0.45397489539749	0.233333333333333	1.8
1_1	1	E	19	1	self	spk1_19.wav	108	1	0.818957090378	1	-0.5	-0.0481171548117155	0.233333333333333	1.8
1_1	1	E	16	1	self	spk1_16.wav	177	1	1.94064497948	1	-0.5	0.240585774058577	0.233333333333333	1.8
1_1	1	E	29	1	self	spk1_29.wav	218	3	1.25619316101	1	-0.5	0.412133891213389	0.233333333333333	1.8
1_1	1	E	36	1	self	spk1_36.wav	232	3	1.40387415886	1	-0.5	0.47071129707113	0.233333333333333	1.8
1_1	1	E	26	1	self	spk1_26.wav	233	3	0.670976161957	1	-0.5	0.47489539748954	0.233333333333333	1.8
1_1	1	E	57	1	self	spk1_57.wav	194	2	1.50432682037	1	-0.5	0.311715481171548	0.233333333333333	1.8
1_1	1	E	3	1	self	spk1_3.wav	115	1	0.487044095993	1	-0.5	-0.0188284518828452	0.233333333333333	1.8
1_1	1	E	56	1	self	spk1_56.wav	236	2	1.44068217278	1	-0.5	0.48744769874477	0.233333333333333	1.8
1_1	1	E	28	1	self	spk1_28.wav	224	2	0.7037961483	1	-0.5	0.437238493723849	0.233333333333333	1.8
1_1	1	E	23	1	self	spk1_23.wav	37	1	1.38951301575	1	-0.5	-0.345188284518828	0.233333333333333	1.8
1_1	1	E	1	1	self	spk1_1.wav	78	2	0.986817121506	1	-0.5	-0.173640167364017	0.233333333333333	1.8
1_15	1	E	21	15	other	spk15_21.wav	239	1	0.570420026779	1	0.5	0.5	0.233333333333333	1.6
1_15	1	E	25	15	other	spk15_25.wav	213	1	0.218397140503	1	0.5	0.391213389121339	0.233333333333333	1.6
1_15	1	E	17	15	other	spk15_17.wav	229	1	1.37171006203	1	0.5	0.4581589958159	0.233333333333333	1.6
1_15	1	E	15	15	other	spk15_15.wav	135	1	1.20574998856	1	0.5	0.0648535564853556	0.233333333333333	1.6
1_15	1	E	30	15	other	spk15_30.wav	27	2	1.40630912781	1	0.5	-0.387029288702929	0.233333333333333	1.6
1_15	1	E	37	15	other	spk15_37.wav	165	3	1.69009590149	1	0.5	0.190376569037657	0.233333333333333	1.6
1_15	1	E	7	15	other	spk15_7.wav	199	2	1.69045209885	1	0.5	0.332635983263598	0.233333333333333	1.6
1_15	1	E	8	15	other	spk15_8.wav	86	1	1.97422790527	1	0.5	-0.140167364016736	0.233333333333333	1.6
1_15	1	E	23	15	other	spk15_23.wav	85	2	1.75714802742	1	0.5	-0.144351464435146	0.233333333333333	1.6
1_15	1	E	52	15	other	spk15_52.wav	162	1	1.12117195129	1	0.5	0.177824267782427	0.233333333333333	1.6
1_15	1	E	46	15	other	spk15_46.wav	202	1	0.686233043671	1	0.5	0.345188284518828	0.233333333333333	1.6
1_15	1	E	28	15	other	spk15_28.wav	172	2	1.42309093475	1	0.5	0.219665271966527	0.233333333333333	1.6
1_15	1	E	14	15	other	spk15_14.wav	11	2	2.02422499657	1	0.5	-0.45397489539749	0.233333333333333	1.6
1_15	1	E	24	15	other	spk15_24.wav	125	1	0.453774929047	1	0.5	0.0230125523012552	0.233333333333333	1.6
1_15	1	E	27	15	other	spk15_27.wav	159	2	1.18862390518	1	0.5	0.165271966527197	0.233333333333333	1.6
1_15	1	E	1	15	other	spk15_1.wav	215	1	0.503814935684	1	0.5	0.399581589958159	0.233333333333333	1.6
1_15	1	E	36	15	other	spk15_36.wav	84	1	2.00747013092	1	0.5	-0.148535564853557	0.233333333333333	1.6
1_15	1	E	18	15	other	spk15_18.wav	26	2	1.05411887169	1	0.5	-0.391213389121339	0.233333333333333	1.6
1_15	1	E	11	15	other	spk15_11.wav	67	2	1.65505313873	1	0.5	-0.219665271966527	0.233333333333333	1.6
1_15	1	E	33	15	other	spk15_33.wav	139	3	1.02179694176	1	0.5	0.0815899581589958	0.233333333333333	1.6
1_15	1	E	16	15	other	spk15_16.wav	87	1	1.13856816292	1	0.5	-0.135983263598326	0.233333333333333	1.6
1_15	1	E	57	15	other	spk15_57.wav	83	1	1.28880500793	1	0.5	-0.152719665271967	0.233333333333333	1.6
1_15	1	E	53	15	other	spk15_53.wav	217	2	1.0204949379	1	0.5	0.407949790794979	0.233333333333333	1.6
1_15	1	E	20	15	other	spk15_20.wav	63	2	1.0053460598	1	0.5	-0.236401673640167	0.233333333333333	1.6
1_15	1	E	22	15	other	spk15_22.wav	23	1	0.434536933899	1	0.5	-0.403765690376569	0.233333333333333	1.6
1_15	1	E	31	15	other	spk15_31.wav	198	1	1.372371912	1	0.5	0.328451882845188	0.233333333333333	1.6
1_15	1	E	41	15	other	spk15_41.wav	186	2	1.53924918175	1	0.5	0.278242677824268	0.233333333333333	1.6
1_15	1	E	39	15	other	spk15_39.wav	134	1	0.653846025467	1	0.5	0.0606694560669456	0.233333333333333	1.6
1_15	1	E	45	15	other	spk15_45.wav	161	1	0.387336969376	1	0.5	0.173640167364017	0.233333333333333	1.6
1_15	1	E	29	15	other	spk15_29.wav	138	2	0.753213882446	1	0.5	0.0774058577405857	0.233333333333333	1.6
1_15	1	E	13	15	other	spk15_13.wav	137	2	1.25540590286	1	0.5	0.0732217573221757	0.233333333333333	1.6
1_15	1	E	2	15	other	spk15_2.wav	150	2	1.89047408104	1	0.5	0.127615062761506	0.233333333333333	1.6
1_15	1	E	3	15	other	spk15_3.wav	31	1	1.48834705353	1	0.5	-0.370292887029289	0.233333333333333	1.6
1_15	1	E	60	15	other	spk15_60.wav	153	4	1.00488996506	1	0.5	0.140167364016736	0.233333333333333	1.6
1_15	1	E	56	15	other	spk15_56.wav	207	2	1.23760700226	1	0.5	0.366108786610879	0.233333333333333	1.6
1_15	1	E	40	15	other	spk15_40.wav	156	3	1.80683398247	1	0.5	0.152719665271967	0.233333333333333	1.6
1_15	1	E	43	15	other	spk15_43.wav	48	2	1.83879685402	1	0.5	-0.299163179916318	0.233333333333333	1.6
1_15	1	E	34	15	other	spk15_34.wav	158	1	1.50551891327	1	0.5	0.161087866108787	0.233333333333333	1.6
1_15	1	E	49	15	other	spk15_49.wav	184	3	1.0554189682	1	0.5	0.269874476987448	0.233333333333333	1.6
1_15	1	E	12	15	other	spk15_12.wav	117	2	1.55649614334	1	0.5	-0.0104602510460251	0.233333333333333	1.6
1_15	1	E	9	15	other	spk15_9.wav	187	1	0.503371953964	1	0.5	0.282426778242678	0.233333333333333	1.6
1_15	1	E	32	15	other	spk15_32.wav	174	1	0.804361104965	1	0.5	0.228033472803347	0.233333333333333	1.6
1_15	1	E	38	15	other	spk15_38.wav	80	1	1.07150793076	1	0.5	-0.165271966527197	0.233333333333333	1.6
1_15	1	E	35	15	other	spk15_35.wav	2	1	0.58740401268	1	0.5	-0.49163179916318	0.233333333333333	1.6
1_15	1	E	5	15	other	spk15_5.wav	216	1	0.0693879127502	1	0.5	0.403765690376569	0.233333333333333	1.6
1_15	1	E	42	15	other	spk15_42.wav	190	1	0.754723072052	1	0.5	0.294979079497908	0.233333333333333	1.6
1_15	1	E	51	15	other	spk15_51.wav	152	4	2.59228801727	1	0.5	0.135983263598326	0.233333333333333	1.6
1_15	1	E	26	15	other	spk15_26.wav	180	2	2.54230308533	1	0.5	0.253138075313807	0.233333333333333	1.6
1_15	1	E	4	15	other	spk15_4.wav	20	2	1.10542798042	1	0.5	-0.416317991631799	0.233333333333333	1.6
1_15	1	E	50	15	other	spk15_50.wav	222	3	0.788125991821	1	0.5	0.428870292887029	0.233333333333333	1.6
1_15	1	E	48	15	other	spk15_48.wav	143	2	1.00371909142	1	0.5	0.0983263598326359	0.233333333333333	1.6
1_15	1	E	47	15	other	spk15_47.wav	197	2	0.954929828644	1	0.5	0.324267782426778	0.233333333333333	1.6
1_15	1	E	6	15	other	spk15_6.wav	237	2	0.369741916656	1	0.5	0.49163179916318	0.233333333333333	1.6
1_15	1	E	58	15	other	spk15_58.wav	106	1	0.670791149139	1	0.5	-0.0564853556485356	0.233333333333333	1.6
1_15	1	E	54	15	other	spk15_54.wav	235	2	0.818994045258	1	0.5	0.48326359832636	0.233333333333333	1.6
1_15	1	E	59	15	other	spk15_59.wav	214	1	0.769864082336	1	0.5	0.395397489539749	0.233333333333333	1.6
1_15	1	E	10	15	other	spk15_10.wav	55	2	1.65638995171	1	0.5	-0.269874476987448	0.233333333333333	1.6
1_15	1	E	55	15	other	spk15_55.wav	220	3	1.18897390366	1	0.5	0.420502092050209	0.233333333333333	1.6
1_15	1	E	44	15	other	spk15_44.wav	30	2	2.00756001472	1	0.5	-0.374476987447699	0.233333333333333	1.6
1_15	1	E	19	15	other	spk15_19.wav	223	3	0.75426197052	1	0.5	0.433054393305439	0.233333333333333	1.6
1_24	1	E	21	24	other	spk24_21.wav	0	2	1.45689988136	1	0.5	-0.5	0.233333333333333	1.8
1_24	1	E	44	24	other	spk24_44.wav	81	1	2.10793495178	1	0.5	-0.161087866108787	0.233333333333333	1.8
1_24	1	E	10	24	other	spk24_10.wav	82	2	1.43772411346	1	0.5	-0.156903765690377	0.233333333333333	1.8
1_24	1	E	31	24	other	spk24_31.wav	3	2	0.971637010574	1	0.5	-0.48744769874477	0.233333333333333	1.8
1_24	1	E	49	24	other	spk24_49.wav	97	2	1.67372894287	1	0.5	-0.0941422594142259	0.233333333333333	1.8
1_24	1	E	43	24	other	spk24_43.wav	5	3	1.55545210838	1	0.5	-0.47907949790795	0.233333333333333	1.8
1_24	1	E	28	24	other	spk24_28.wav	140	1	0.904165029526	1	0.5	0.0857740585774058	0.233333333333333	1.8
1_24	1	E	19	24	other	spk24_19.wav	7	2	1.18845200539	1	0.5	-0.47071129707113	0.233333333333333	1.8
1_24	1	E	1	24	other	spk24_1.wav	169	2	1.1221511364	1	0.5	0.207112970711297	0.233333333333333	1.8
1_24	1	E	4	24	other	spk24_4.wav	9	1	3.46090388298	1	0.5	-0.46234309623431	0.233333333333333	1.8
1_24	1	E	32	24	other	spk24_32.wav	10	2	2.09114789963	1	0.5	-0.4581589958159	0.233333333333333	1.8
1_24	1	E	35	24	other	spk24_35.wav	132	1	0.68740606308	1	0.5	0.0523012552301255	0.233333333333333	1.8
1_24	1	E	48	24	other	spk24_48.wav	52	3	1.52321815491	1	0.5	-0.282426778242678	0.233333333333333	1.8
1_24	1	E	51	24	other	spk24_51.wav	53	1	2.00560307503	1	0.5	-0.278242677824268	0.233333333333333	1.8
1_24	1	E	30	24	other	spk24_30.wav	175	2	1.20550298691	1	0.5	0.232217573221757	0.233333333333333	1.8
1_24	1	E	20	24	other	spk24_20.wav	95	1	1.98870301247	1	0.5	-0.102510460251046	0.233333333333333	1.8
1_24	1	E	23	24	other	spk24_23.wav	16	3	1.97364592552	1	0.5	-0.433054393305439	0.233333333333333	1.8
1_24	1	E	27	24	other	spk24_27.wav	70	2	1.23846006393	1	0.5	-0.207112970711297	0.233333333333333	1.8
1_24	1	E	40	24	other	spk24_40.wav	179	2	0.837094068527	1	0.5	0.248953974895398	0.233333333333333	1.8
1_24	1	E	39	24	other	spk24_39.wav	32	1	0.653719186783	1	0.5	-0.366108786610879	0.233333333333333	1.8
1_24	1	E	41	24	other	spk24_41.wav	181	3	1.40611386299	1	0.5	0.257322175732218	0.233333333333333	1.8
1_24	1	E	52	24	other	spk24_52.wav	21	1	1.50622797012	1	0.5	-0.412133891213389	0.233333333333333	1.8
1_24	1	E	37	24	other	spk24_37.wav	183	2	0.671473026276	1	0.5	0.265690376569038	0.233333333333333	1.8
1_24	1	E	58	24	other	spk24_58.wav	144	2	1.52243900299	1	0.5	0.102510460251046	0.233333333333333	1.8
1_24	1	E	12	24	other	spk24_12.wav	24	2	1.43922305107	1	0.5	-0.399581589958159	0.233333333333333	1.8
1_24	1	E	9	24	other	spk24_9.wav	212	2	0.635609865189	1	0.5	0.387029288702929	0.233333333333333	1.8
1_24	1	E	45	24	other	spk24_45.wav	66	2	0.136444091797	1	0.5	-0.223849372384937	0.233333333333333	1.8
1_24	1	E	42	24	other	spk24_42.wav	188	1	0.704509973526	1	0.5	0.286610878661088	0.233333333333333	1.8
1_24	1	E	56	24	other	spk24_56.wav	28	2	1.05533289909	1	0.5	-0.382845188284519	0.233333333333333	1.8
1_24	1	E	6	24	other	spk24_6.wav	69	2	2.70896911621	1	0.5	-0.211297071129707	0.233333333333333	1.8
1_24	1	E	57	24	other	spk24_57.wav	96	3	1.42079281807	1	0.5	-0.098326359832636	0.233333333333333	1.8
1_24	1	E	25	24	other	spk24_25.wav	111	1	0.703503847122	1	0.5	-0.0355648535564854	0.233333333333333	1.8
1_24	1	E	34	24	other	spk24_34.wav	45	1	0.352151870728	1	0.5	-0.311715481171548	0.233333333333333	1.8
1_24	1	E	59	24	other	spk24_59.wav	113	1	1.10507702827	1	0.5	-0.0271966527196653	0.233333333333333	1.8
1_24	1	E	14	24	other	spk24_14.wav	47	1	1.8072988987	1	0.5	-0.303347280334728	0.233333333333333	1.8
1_24	1	E	50	24	other	spk24_50.wav	75	2	1.32238698006	1	0.5	-0.186192468619247	0.233333333333333	1.8
1_24	1	E	7	24	other	spk24_7.wav	36	2	1.58759093285	1	0.5	-0.349372384937238	0.233333333333333	1.8
1_24	1	E	26	24	other	spk24_26.wav	77	3	3.2591240406	1	0.5	-0.177824267782427	0.233333333333333	1.8
1_24	1	E	33	24	other	spk24_33.wav	64	3	1.35578417778	1	0.5	-0.232217573221757	0.233333333333333	1.8
1_24	1	E	55	24	other	spk24_55.wav	200	2	0.337312936783	1	0.5	0.336820083682008	0.233333333333333	1.8
1_24	1	E	38	24	other	spk24_38.wav	93	3	0.969794034958	1	0.5	-0.110878661087866	0.233333333333333	1.8
