pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	pair
4	E	10	24	other	spk24_10.wav	8	2	1.55426311493	4	0.5	-0.294871794871795	4_24
4	E	8	24	other	spk24_8.wav	9	2	1.05262708664	4	0.5	-0.269230769230769	4_24
4	E	9	1	other	spk1_9.wav	10	3	0.63832616806	4	0.5	-0.243589743589744	4_1
4	E	8	4	self	spk4_8.wav	11	4	1.03673100471	4	-0.5	-0.217948717948718	4_4
4	E	8	15	other	spk15_8.wav	12	3	3.09289908409	4	0.5	-0.192307692307692	4_15
4	E	3	24	other	spk24_3.wav	13	3	0.484788179398	4	0.5	-0.166666666666667	4_24
4	E	10	15	other	spk15_10.wav	14	3	0.737303972244	4	0.5	-0.141025641025641	4_15
4	E	4	1	other	spk1_4.wav	15	4	0.302778959274	4	0.5	-0.115384615384615	4_1
4	E	7	24	other	spk24_7.wav	16	3	0.420623064041	4	0.5	-0.0897435897435898	4_24
4	E	3	1	other	spk1_3.wav	17	4	0.42029094696	4	0.5	-0.0641025641025641	4_1
4	E	7	1	other	spk1_7.wav	18	5	0.519762992859	4	0.5	-0.0384615384615384	4_1
4	E	4	24	other	spk24_4.wav	19	3	2.84273791313	4	0.5	-0.0128205128205128	4_24
4	E	7	4	self	spk4_7.wav	20	4	3.14366388321	4	-0.5	0.0128205128205128	4_4
4	E	1	4	self	spk4_1.wav	21	4	0.787981033325	4	-0.5	0.0384615384615384	4_4
4	E	1	1	other	spk1_1.wav	22	5	0.337316989899	4	0.5	0.0641025641025641	4_1
4	E	2	24	other	spk24_2.wav	23	4	1.40564680099	4	0.5	0.0897435897435898	4_24
4	E	5	15	other	spk15_5.wav	24	3	0.270295143127	4	0.5	0.115384615384615	4_15
4	E	1	24	other	spk24_1.wav	25	3	0.838392972946	4	0.5	0.141025641025641	4_24
4	E	3	4	self	spk4_3.wav	26	3	1.22190284729	4	-0.5	0.166666666666667	4_4
4	E	10	4	self	spk4_10.wav	27	4	1.08848285675	4	-0.5	0.192307692307692	4_4
4	E	3	15	other	spk15_3.wav	28	5	0.835778951645	4	0.5	0.217948717948718	4_15
4	E	4	4	self	spk4_4.wav	29	5	0.202764987946	4	-0.5	0.243589743589744	4_4
4	E	9	15	other	spk15_9.wav	30	3	0.119029045105	4	0.5	0.269230769230769	4_15
